,milo_f1-score,meld_f1-score,cna_f1-score,daseq_f1-score,rra_f1-score,milo_precision,meld_precision,cna_precision,daseq_precision,rra_precision,milo_recall,meld_recall,cna_recall,daseq_recall,rra_recall
pos0.7_neg0.3_cond1_3_remove_6.h5ad,0.6446548823609883,0.8905798042676376,0.6577354094177906,0.7019088349286111,0.9363724211451999,0.9201845921253238,0.8602107045988019,0.6233736226653858,0.9471353172185196,0.9618664390966529,0.5632611219263903,0.9541985845332975,0.8638295861382389,0.614659674565397,0.9151064002434843
pos0.7_neg0.3_cond1_3_remove_9.h5ad,0.47576986907146895,0.8997228451414081,0.6147799678224773,0.689058863767433,0.8945423181421076,0.9198837066555378,0.8679240907151566,0.588978732639711,0.9325720519710025,0.915475412724274,0.4368022142982048,0.952372265690272,0.8378641359687871,0.6028919054461627,0.8796592234181609
pos0.7_neg0.3_cond4_14_remove_0.h5ad,0.4111425903046373,0.31862092570867,0.45585668482135944,0.4303722980199032,0.8067800276875317,0.965815026729692,0.42875716028679034,0.4593525731479624,0.6417876702570425,0.8583233470948937,0.38177454665528554,0.48198426911821796,0.8384570588109627,0.39730810765238034,0.7654687923926969
pos0.7_neg0.3_cond4_14_remove_3.h5ad,0.4227797206233454,0.2350151692189221,0.43283485185093623,0.3723459688966942,0.8094208479534047,0.9252952722355662,0.43408141363872743,0.4416260655030318,0.9362070856489589,0.8521062743246336,0.38760872328760754,0.40313774144743725,0.8378711227005603,0.359150398387778,0.7816945869813177
pos0.7_neg0.3_cond4_14_remove_6.h5ad,0.4028170556064006,0.5915689703775432,0.408499900589641,0.40035529104048845,0.7416674347142598,0.9303356488347632,0.523109813471156,0.4270087117200738,0.906835803713211,0.7928464636650148,0.3757764143035908,0.8640360859056596,0.8253638393546171,0.3743373701009045,0.7193991805985959
pos0.7_neg0.3_cond4_14_remove_9.h5ad,0.3253205837667648,0.5924876735410539,0.3441514814470521,0.37160441232734986,0.5244424948894605,0.4820564429788874,0.5182842556417097,0.3942767036117416,0.6447373565463174,0.729889637193326,0.33389315108666745,0.8617577701718634,0.7207483296745084,0.3584242169033289,0.4633930358265901
pos0.7_neg0.3_cond6_9_remove_0.h5ad,0.6552562139885598,0.9980449361673065,0.5481719180267824,0.6791949105199787,0.9799416903904009,0.9782161761640396,0.9972643211330339,0.5013949639820385,0.98107135543138,0.9926927611210458,0.5582776832691069,0.9988311978110898,0.9006898246955503,0.579196507245544,0.9677719695332541
pos0.7_neg0.3_cond6_9_remove_3.h5ad,0.5345549637392386,0.9938107578920276,0.5229086434194367,0.6161843819399553,0.9848985436392507,0.977000699162049,0.9892003243481339,0.487187493766366,0.9778544386980519,0.9899736313368542,0.4659374049457341,0.9985368353482005,0.8958851558605785,0.5293021158986556,0.9799096948373428
pos0.7_neg0.3_cond6_9_remove_6.h5ad,0.4533583120877361,0.9958627369961571,0.493347325319147,0.6076195993548493,0.9720876602638144,0.958876064889262,0.993218994322162,0.47176016911745133,0.978618736932459,0.9769200758265469,0.4077612761869978,0.9985412992541033,0.8824206528052058,0.517683555000726,0.9676498321512449
pos0.7_neg0.3_cond6_9_remove_9.h5ad,0.332824385671805,0.9810550142366856,0.47084583998378077,0.5952296984666733,0.9600880408861849,0.97285568413887,0.9664672449620063,0.46025688220289956,0.9790295910123986,0.9869250533110879,0.3402337596119695,0.9971560467660828,0.8667856184327077,0.5410301309492299,0.9355601637007771
