,milo-f1,meld-f1,cna-f1,daseq-f1,rra-f1,milo-p,meld-p,cna-p,daseq-p,rra-p,milo-r,meld-r,cna-r,daseq-r,rra-r
c2_6_24_4,0.8600344045457081,0.620363914210129,0.7621980285671494,0.9057912505088103,0.9196262060835787,0.9375361638155756,0.6619505431029108,0.7080433460432575,0.9243895514389391,0.9277202851584457,0.8084324937244197,0.7721179616499793,0.8893610425165228,0.8921002847921766,0.9119141521294627
c3_12_24_0,0.8936516811291719,0.7308460625430165,0.8248560122671709,0.9335080286161185,0.9342331730169473,0.9421614979326552,0.6841470547356993,0.77385442999769,0.9475541835623208,0.9427898600356072,0.8553491291404348,0.8656927024797683,0.9130575175710511,0.9205603618928521,0.9262185550559234
c3_12_24_1,0.9010805939149128,0.7904758079548467,0.8089247322922345,0.9359255836193053,0.9313511827264365,0.9424162043163634,0.7401140336628097,0.7568763189021062,0.9475931642352101,0.9398793849479818,0.8673210623329233,0.8836152521052941,0.9060027074397713,0.9251302065016337,0.9233550726563932
c3_12_24_2,0.8866107761972821,0.8104938008746919,0.8191392653852626,0.9377577136811183,0.9350210262932247,0.9418884021301746,0.7638758409928655,0.7678252035885035,0.955938248837521,0.9462566098195099,0.8446387983287503,0.8857971495811435,0.9104220442686168,0.9211391847662284,0.9244217745320036
c3_12_24_3,0.8941575387973236,0.7877408395251727,0.8227083694609617,0.935402935773073,0.9354371659452108,0.9431915873904488,0.7377166588322158,0.7718734672059702,0.9557963542661506,0.9455133314660736,0.8554124576939818,0.8817931343264284,0.9121072212030642,0.9170799689834115,0.9260262012351808
c3_12_24_4,0.8845422795992964,0.7103961747787166,0.814216797426946,0.9328580128472398,0.9305410869917603,0.9401942300982805,0.6687950493030441,0.7628363383851667,0.9501273010554248,0.9385042917662748,0.8421920545774744,0.8568007538866173,0.9075860980295816,0.9170605031101836,0.9230588895969126
c4_18_24_0,0.9004137536319511,0.7862938638954251,0.8257742682760684,0.9358481940538607,0.934978155798785,0.9421464484012586,0.7359958908888858,0.7793147924635117,0.9594278778840231,0.9369289305445672,0.8664688178568287,0.8847667953062239,0.915254104869463,0.9149777567488065,0.9336454864296307
c4_18_24_1,0.8988886910717079,0.7694004505162638,0.8376088865590967,0.9377237730470857,0.9315991025491684,0.9399178122014235,0.7190935132724013,0.7920951038770658,0.9526751714469769,0.9322223603206687,0.8653710256867546,0.8818227184608932,0.92048424964244,0.9242004396669127,0.9318050729951407
c4_18_24_2,0.8954542635748274,0.7695967912073073,0.8229701155775531,0.9377167301755214,0.9310610009595676,0.9412730977633103,0.7191061022210433,0.7762417544297487,0.9467215629961632,0.9323638025746716,0.8589204726674184,0.8787443901961517,0.9135518591578028,0.9295642018305794,0.930708627470453
c4_18_24_3,0.9012298267444366,0.780048357579146,0.8315228004282393,0.9322484820687024,0.9336747309659948,0.9451947823295108,0.7299775081237946,0.7867854139812015,0.964113341863113,0.9356083846157147,0.8659199119750958,0.8847389368075719,0.9172482806327444,0.9049892357484319,0.932357399272688
c4_18_24_4,0.8974306389322796,0.7479645057213932,0.8355677963765414,0.9385095214589884,0.9317516414816739,0.9385300079284155,0.6989514554945901,0.7917166495596829,0.9518927697008318,0.9326524955319587,0.8639250862564104,0.872884424748591,0.9185737960141588,0.9264874983801702,0.9318739111720026
c5_24_18_0,0.9006833140495436,0.760994039719107,0.8170991527816409,0.9283352101092959,0.9277652688471575,0.9376308241717887,0.7389453507533107,0.7755185482446624,0.9421526300481567,0.9244209064824723,0.8700092847524612,0.8736271948864265,0.914596872508624,0.9178516380993362,0.9328510851635102
c5_24_18_1,0.9020108594354804,0.7768084120666826,0.81865180138063,0.9339112584448656,0.9288330246931938,0.9404143234730157,0.7323137780508375,0.7757932419803758,0.9434928732780906,0.924253829249826,0.8702926558553571,0.886870934631995,0.915885537944197,0.9264628440545316,0.9354942118450861
c5_24_18_2,0.8970001451910218,0.7698095128115067,0.8096987770366014,0.9349958895411112,0.9304188388141775,0.9433438987165522,0.7209915308438628,0.7709022776658211,0.9491653479611685,0.9279257419362112,0.8601030876846235,0.883060590353229,0.911696327520624,0.922662494565182,0.9344675378213326
c5_24_18_3,0.8948595311890637,0.7906545291641024,0.8106813532913527,0.93000480887371,0.9277783290554894,0.9402713940778554,0.7426686089698693,0.7696999598581199,0.9376577471598414,0.9259195679666838,0.8585281308153148,0.8857676795039664,0.9111615069854037,0.9247106969026135,0.931403929689859
c5_24_18_4,0.9071015001764389,0.7800377543265746,0.8241076210009427,0.9343900386373226,0.9318884240784331,0.9440647072781378,0.7584440309399519,0.7833280234984438,0.9455154238671,0.9285930453211685,0.8763191648764566,0.8828797596635427,0.9183369113390185,0.9251020975039763,0.9369342386921811
c6_24_12_0,0.8973644773418643,0.7072084241343212,0.7981214248328108,0.9218070160331711,0.9270501327515112,0.9380875782578824,0.7536052280477187,0.7543065386396869,0.918911808723875,0.9235183702068381,0.8643027896083151,0.8064896139382135,0.9093693834506434,0.9294101594364944,0.932962137237547
c6_24_12_1,0.900580911381669,0.7466846211037458,0.7930658196690986,0.924626221251339,0.9233616630372256,0.938010159823258,0.7393021467579698,0.7510801512110569,0.9238253639838795,0.919194040430213,0.8697873111482638,0.8705900613869323,0.9068927611248213,0.9288079841328319,0.9304464177639673
c6_24_12_2,0.8969662832391538,0.6921865361480345,0.7968466506333579,0.9225342484666643,0.9232433919197556,0.9351148366337112,0.7488261292757823,0.7539237321861472,0.9316620217083486,0.918836118916425,0.8657917633777221,0.7954823099484255,0.9075750433209957,0.9175481876681059,0.931134767690521
c6_24_12_3,0.8949280093748596,0.7752110715298808,0.7945194906899457,0.9210339317814628,0.9257791209890659,0.9357972615866332,0.7294635465499509,0.7527299175480408,0.9146834638092091,0.9241832706160102,0.8617198887934316,0.8888297796084076,0.9076372005357772,0.9325000805764404,0.929619727113486
c6_24_12_4,0.8901325690832295,0.7880540953614217,0.7924643945440759,0.9187889518289992,0.924782796128408,0.9387649888467352,0.743238483563413,0.7508664961381343,0.9230084476684913,0.9235043055668978,0.8519356668864794,0.8879935810202189,0.9043031601047004,0.919732443413866,0.9282653098093877
c7_24_6_0,0.874629751527293,0.6627987627094702,0.7496257207761711,0.8784734427848088,0.9148107471440255,0.923876109919429,0.7272111214738047,0.7120037418206034,0.8795952508850813,0.9042891278485415,0.8373044268359964,0.7970349110928131,0.8958514620447605,0.8962468845423305,0.9308852513005509
c7_24_6_1,0.8627818151787374,0.7979838865782014,0.7226288406683573,0.8676652474701633,0.8952167553693663,0.9146468575946939,0.7633380045827538,0.6897829100651971,0.852170005285675,0.8818429508134557,0.8247393632986314,0.8822595988450871,0.8795677787808094,0.9091931066562172,0.9183617052089184
c7_24_6_2,0.8706283420218406,0.6201543446771778,0.7423669733807073,0.9004004097721331,0.9041270939035471,0.9194785913015022,0.7156750735666565,0.7074824299830968,0.9012357791944784,0.8932452985157977,0.8330673448373341,0.7643834609062107,0.8901706627592887,0.9085855541013089,0.9220395149186601
c7_24_6_3,0.8700119471037583,0.5496975013599367,0.7396110737431574,0.899536894769906,0.903983901828941,0.9288521710685528,0.6266621457663591,0.7046569492387037,0.903953922160035,0.8924619379349105,0.8265229528221033,0.6872275818105278,0.8890916013892656,0.9029271020862315,0.9211039313094253
c7_24_6_4,0.8579624206032105,0.7989561890713229,0.7438026882433952,0.8915995309224765,0.9125373873314623,0.9231829043971295,0.7634365724061917,0.7101588597838169,0.8820362943241205,0.9047213761125324,0.8108616339669208,0.8937360459967096,0.8931742350995598,0.9144470430026456,0.9246950905622948
c8_24_2_0,0.7280853575578409,0.7148846790550998,0.6803594621902062,0.8259263646859486,0.8651513735880286,0.8826800125467376,0.6841786285173016,0.6592751276202033,0.8070599924591777,0.8414464487124788,0.6706911697162611,0.8723327852680353,0.8666028777969066,0.8778325450910122,0.9080260664829672
c8_24_2_1,0.7062676166839901,0.7646250695414555,0.6822711230691717,0.7779876170288945,0.8509553070937041,0.8969172007471083,0.7465348447589374,0.6611011265137196,0.8124864393912589,0.8301782903346359,0.6431333555326265,0.870761403348963,0.8657901138517126,0.7897360353198005,0.8924918727951109
c8_24_2_2,0.7224988782708076,0.7354533662853667,0.6824976504891311,0.816450942991129,0.8515097004142899,0.8781719048669373,0.7214346326932534,0.6599064627890903,0.8166672453832406,0.8256879567110885,0.6689685722386797,0.8779415916110936,0.8663689690497751,0.844691646056341,0.9023351010054874
c8_24_2_3,0.7277653123052766,0.7538200336877674,0.6737444728523819,0.7844099541869846,0.8491695527650581,0.8916188015562666,0.7290124168941968,0.6569308485112265,0.8093408520306857,0.8282956996269472,0.6654557929377448,0.8798562767638102,0.8588082004732112,0.8002277345039147,0.8959678325283785
c8_24_2_4,0.7261625799935286,0.7257048674718485,0.684667165521431,0.8017169890680668,0.853358888353295,0.904039630534386,0.7076197862713491,0.6637762857294759,0.8154661041648206,0.8296009689256181,0.6600944958449014,0.87495486691023,0.8667508959004557,0.8235893205139474,0.899494887775898
